序号, 词                                    , 解释（若有）
1, brain power                           , 脑力
2, 交互                                  , 
3, pupa                                  , 曲绘是一只蓝色的蝴蝶
4, conflict                              , 冲突
5, Re:End of a Dream                     , 终梦
6, 底力                                  , 
7, 纵连                                  , 
8, 越级                                  , 
9, 4k                                    , 
10, 舞萌                                  , 
11, mopemope                              , 蓝色小花
12, 跳舞机                                , 
13, 节奏医生                              , 
14, 喵斯快跑                              , 
15, Phigros                               , 
16, 节奏大师                              , 
17, arcaea                                , 
18, destr0yer                             , 削除射线
19, Full combo                            , 
20, All perfect                           , 
21, hold                                  , 长条
22, GOODTEK                               , 良锤
23, Daisuke                               , 快把浴霸关上
24, Nhelv                                 , 你和驴
25, Halcyon                               , 翡翠鸡
26, Dragonlady                            , 龙女士
27, Credits                               , 信用
28, World Vanquisher                      , 世界征服者
29, Faded                                 , 不解释
30, 神威                                  , 歌曲
31, Bad Apple                             , 
32, XL TECHNO                             , 特大
33, 初音未来的消失                        , 
34, Oshama Scramble!                      , 牛奶猫
35, Battle NO.1                           , 打架第一名
36, the Emperror                          , 皇帝
37, 迪拉熊                                , 舞萌DX吉祥物
38, 中二企鹅                              , 中二节奏吉祥物
39, 琪露诺的完美算数教室                  , 琪露诺为蓝色头发的冰妖精
40, 双押                                  , 
41, Auto play                             , 自动游玩
42, 变速                                  , 
43, 俊达萌                                , 常见虚拟角色，绿色毛豆精
44, USAO                                  , 曲师，粉红兔子头
45, miss                                  , 
46, great/good                            , 没打准
47, perfect                               , 
48, 初音未来                              , 
49, 音游王                                , 伪造记录假装实力很强的人
50, 出勤                                  , 指去打街机音游
51, 中二节奏                              , 
52, 竹                                    , 
53, 段位                                  , 
54, SDVX                                  , 街机，4k+双旋钮
55, SEGA                                  , 公司，制作了舞萌中二等游戏
56, Konami                                , 公司，制作sdvx，jubeat等游戏
57, Jubeat                                , 乐动魔方
58, 太鼓达人                              , 
59, cytus                                 , 扫描式音游
60, 霸机                                  , 霸占机子不让别人玩
61, 性歌                                  , 差一点到达某一分数
62, Alpha-0                               , 
63, 音押                                  , 
64, 目押                                  , 
65, flower                                , 歌曲
66, FUJIN Rumble                          , 风神
67, DJMAX                                 , 音游，最新代为4-6k下落式
68, 转圈                                  , 舞萌配置，相当于放在圈中的楼梯
69, 楼梯                                  , 下落式配置
70, 叠                                    , 下落式配置，特点为连续的多押
71, 节奏过山车                            , 
72, 舞立方                                , 
73, 拆机                                  , 超大力拍打街机
74, stasis                                , 船
75, BanG Dream                            , 邦邦
76, dynamix                               , 三面下落
77, 糊                                    , 随便乱打
78, 邪道                                  , 使用非正规手法推歌
79, ESM                                   , 恐龙追猫
80, B.B.K.K.B.K.K                         , bass kick
81, End Time                              , 
82, Freedom Dive                          , 自由落体
83, OSU                                   , 
84, climax                                , 多手男人.jpg
85, Tempestissimo                         , 风暴
86, Pandora Paradoxx                      , 潘多拉悖论
87, ouroVoros                             , 衔尾蛇
88, mare maris                            , 船
89, Igallta                               , 紫发女人拿剑
90, hardcore tano*c                       , 音乐社团
91, Sakura Fubuki                         , 樱吹雪
92, Aegleseeker                           , 光追
93, Cthugha                               , 火球
94, enchanted love                        , 封面绿色小女孩和小青蛙
95, MAGENTA POTION                        , 洋红色药水
96, Burn                                  , 小红帽
97, Apollo                                , 阿波罗
98, CHAOS（cytus）                        , 混沌
99, R.I.P                                 , 
100, PANDORA PARADOXXX                     , 潘
101, 系ぎて                                , 系
102, Xaleid◆scopiX                         ," ""xx","万花筒"""
103, Bad Apple!                            , Bad Apple!
104, CHAOS                                 , CHAOS
105, ULTRA SYNERGY MATRIX                  , USM
106, Inverted World                        , 反转世界
107, Testify                               , Testify
108, 零號車輛                              , 0车
109, 祈 -我ら神祖と共に歩む者なり-         , 祈
110, Rrhar'il                              , Rr
111, Spasmodic                             , 痉挛
112," ""Destruction 3",2,"1""                   ", 321
113, Distorted Fate                        , df
114, QZKago Requiem                        , 茄子
115, solips                                , solips
116, Re：End of a Dream                    , 终梦
117, Chronomia                             , 天文钟
118, INFiNiTE ENERZY -Overdoze-            , IEO
119, Lyrith -迷宮リリス -                  , 迷宫
120, 狂喜蘭舞                              , 狂喜兰舞
121, Grievous Lady                         , 病女
122, NightTheater                          , 夜剧院
123, 雪降                                  , 雪降
124, Retribution                           , 报应
125, GOODRAGE                              , GOODRAGE
126, MAXRAGE                               , MAXRAGE
127, いざ、参ります                        , 参上
128, TECHNOPOLIS 2085                      , 2085
129, 初音ミクの消失                        , 初音未来的消失
130, 初音ミクの激唱                        , 初音未来的激唱
131, 雪降り ~雪が降っている~               , 雪降愚人节
132, 雪降り、メリクリ                      , 雪降
133, Antithese                             , 反命题
134, PRAGMATISM -RESURRECTION-             , 白复生
135, AbsoluTe disoRdeR                     , ATRR
136, Cyaegha                               , 绿魔王
137, Pentiment                             , 喷嚏门
138, マシンガンポエムドール                , 机关枪
139, ヤミナベ!!!!                          , 暗锅
140, 人生                                  , 人生
141, raputa                                , raputa
142, marbleblue                            , 马宝蓝
143, ラストワンの号哭                      , 号哭
144, 六兆年と一夜物語                      , 六兆年
145, 熱異常                                , 热异常
146, バグ                                  , BUG
147, 星界ちゃんと可不ちゃんのおつかい合騒曲, 星界可不
148, Ultimate taste                        , Ultimate taste
149, Knight Rider                          , 骑士骑士
150, Final Step!                           , Final Step!
151, きゅうくらりん                        , 心跳不止
152, Altale                                , Altale
153, emomomo                               , emomomo
154, ウミユリ海底譚                        , 海底谭
155, ラグトレイン                          , 延误列车
156, フォニイ                              , 伪物
157, フォニイ (伪物)                       , phony
158, 三妖精SAY YA!!!                       , 三妖精
159, グッバイ宣言                          , 再见宣言
160, 最強STRONGER                          , 最强
161, インドア系ならトラックメイカー        , 室内系
162, 命に嫌われている                      , 命嫌
163," ""Good bye"," Merry-Go-Round.""           ", 旋转木马
164, Raven Emperor                         , 瑞文皇帝
165, MOBILYS                               , 灯球
166, アイドル                              , idol
167, 強風オールバック                      , 强风大背头
168, ザムザ                                , 萨姆沙
169, にっこり^^調査隊のテーマ              , 微笑调查队
170, MORE！JUMP！MORE！                    , mjm
171, Southern Cross                        , 南十字
172, banging strike                        , BS
173, Xterfusion                            , 音晶爆炸
174, AMAZING MIGHTYYYY!!!!                 , AM
175, Don't Fight The Music                 , 别打歌
176, 最终鬼畜妹・一部声                    , 最终鬼畜妹
177, snooze                                , snooze
178, 怪獣になりたい                        , 想成为怪兽
179, D/N/A                                 , DNA
180, Fracture Ray                          , 骨折光
181, 封焔の135秒                           , 封焰的135秒
182, Melody                                , 疑为Malody，一款社区4K音游
183, muse dash                             , 
184, project sekai                         , 初音未来世界计划
185, Bang Dream                            , 
186, 冰与火之舞                            , 
187, Phira                                 , 
188, 鸽游                                  , 
189, lowiro                                , 
190, 616                                   , 
191, 大水                                  , 
192, 拼机                                  , 
193, 单刷                                  , 
194, 手癖                                  , 
195, 小团体                                , 
196, 制霸                                  , 
197, 推分                                  , 
198, 下埋                                  , 
199, 抓绝赞                                , 
200, 键盘比                                , 
201, 星星比                                , 
202, 音游痴                                , 
203, 沉默微笑                              , 
204, BPM                                   , 
205, 锁手                                  , 
206, 華天月兔                              , 
207, 真空都市                              , 
208, Magical paradox                       , 
209, 忙シ一日                              , 
210, 宙天                                  , 
211, c.s.q.n.                              , 
212, Clock Paradox                         , 时钟悖论
213, cryout                                , 
214, DataErr0r                             , 
215, New York Back Raise                   , 纽约赌场
216, INTERNET YAMERO                       , 
217, NULCTRL                               , 
218, RetRibution ~ Cycle of Redemption     , 
219, 1000年生きてる                        , 存活千年
220, Snow desert                           , 
221, WATER(Feat.Miku)                      , 
222, valor/starcross                       , 
223, Palescreen(feat.Madol)                , 
224, The whole rest                        , 
225, 次元通信                              , signaling
226, AMARA                                 , 大未来电脑
227, Chronostasis                          , 
228, Tokidoki Dokidoki                     , 
229, Lost one的号哭                        , 
230, World Ender                           , 魔王
